name,length,geometry
"['East 102nd Street', 'Farragut Road']",1387.562,"LINESTRING (-73.893247 40.642806, -73.8935832 40.6431081, -73.8947451 40.6441523, -73.8949717 40.6443559, -73.895063 40.644438, -73.8951422 40.6445091, -73.8954016 40.6447422, -73.8965362 40.6457615, -73.8968155 40.6460126, -73.896904 40.646092, -73.8970107 40.6461875, -73.8984684 40.6474952, -73.8984996 40.6475232, -73.898554 40.647572, -73.8986148 40.647627, -73.9001467 40.649012, -73.9001411 40.6490523, -73.9001215 40.6491064, -73.9000824 40.649155, -73.899469 40.649542, -73.8991374 40.6497581, -73.898728 40.650025, -73.8980898 40.650438, -73.89802 40.6504834, -73.8979113 40.6505525, -73.8969408 40.651182, -73.8959526 40.6518217, -73.895861 40.651881)"
"['East 38th Street', 'Avenue V']",1264.6879999999999,"LINESTRING (-73.923011 40.606716, -73.922301 40.607179, -73.923011 40.606716, -73.923245 40.6065677, -73.923731 40.606253, -73.9244615 40.6058096, -73.9248818 40.606189, -73.9259527 40.6071457, -73.926249 40.607414, -73.928066 40.609055, -73.9298168 40.6106251, -73.929887 40.610688, -73.9316151 40.612237, -73.93171 40.612322)"
"['Vermont Street', 'Jackie Robinson Parkway']",1024.82,"LINESTRING (-73.8949322 40.6759984, -73.895318 40.677496, -73.8956793 40.6788999, -73.895698 40.678971, -73.8957183 40.6790553, -73.8959809 40.6801179, -73.8960451 40.680394, -73.8961463 40.680822, -73.8962451 40.6813947, -73.896255 40.681574, -73.8962127 40.6823865, -73.8961827 40.6824768, -73.8960788 40.6826466, -73.8953319 40.6835799, -73.894758 40.684287, -73.8944081 40.6847494)"
"['Coney Island Avenue', 'Shore Parkway']",1370.684,"LINESTRING (-73.9603213 40.5865039, -73.960348 40.5861938, -73.9602659 40.5851324, -73.9601972 40.5841938, -73.9601404 40.5835531, -73.9601248 40.5833773, -73.9601404 40.5835531, -73.9601972 40.5841938, -73.9602659 40.5851324, -73.960348 40.5861938, -73.9603213 40.5865039, -73.960473 40.5863814, -73.9605243 40.586175, -73.9604997 40.5857911, -73.9604412 40.5850107, -73.9616294 40.584883, -73.962552 40.584783, -73.963442 40.584676, -73.9655978 40.5845964, -73.9662763 40.5845724, -73.9663545 40.584571)"
"['Eastern Parkway Service Road', 'North Service Road']",1194.467,"LINESTRING (-73.9551979 40.6703211, -73.955338 40.6703256, -73.9578115 40.6708533, -73.9578965 40.6708717, -73.9579985 40.6708931, -73.9611179 40.671547, -73.9611806 40.6715601, -73.9612578 40.6715763, -73.9613604 40.6715977, -73.9618345 40.6716965, -73.9620407 40.6717389, -73.9624819 40.6718298, -73.9626099 40.671855, -73.9627663 40.6718835, -73.9636261 40.6720707, -73.9642126 40.6722238, -73.9643257 40.6722592, -73.9644421 40.6722961, -73.9652349 40.6725537, -73.9653575 40.6725888, -73.9657178 40.672692, -73.9662174 40.6728202, -73.9665603 40.6729004, -73.9669146 40.6729741, -73.9673488 40.6730447, -73.9674334 40.6730585, -73.9675134 40.6730697, -73.9676775 40.6730908, -73.96793 40.6731187, -73.9681839 40.6731357, -73.9684696 40.6731456, -73.9686444 40.6731445, -73.9687144 40.673144, -73.9688152 40.6731433)"
"['Oak Street', 'Guernsey Street']",752.913,"LINESTRING (-73.9524918 40.7232026, -73.9525318 40.7232729, -73.9534094 40.7248157, -73.953447 40.7248809, -73.9534821 40.7249432, -73.95434 40.726445, -73.9543606 40.7264814, -73.9543948 40.7265416, -73.9544313 40.7266044, -73.9549257 40.7274744, -73.9549512 40.727517, -73.9549835 40.727571, -73.955017 40.7276271, -73.9552413 40.727998, -73.9554066 40.7279547, -73.9554674 40.7279423, -73.9555184 40.7279334, -73.9555779 40.7279269, -73.957105 40.727771, -73.9571509 40.7277664, -73.9572483 40.7277591)"
"['Corbin Place', 'Brighton Beach Avenue']",687.1850000000001,"LINESTRING (-73.9535716 40.5768049, -73.9535952 40.5769158, -73.9535976 40.5769268, -73.9536034 40.5769543, -73.9536208 40.5770357, -73.9536402 40.5771269, -73.9536615 40.5772268, -73.9536831 40.5773285, -73.9537112 40.5774604, -73.9539052 40.577431, -73.95401 40.5774134, -73.9539441 40.5773298, -73.9539378 40.5772976, -73.953926 40.5772364, -73.9539089 40.5771484, -73.95389 40.5770509, -73.9538653 40.5769238, -73.9538594 40.5768942, -73.9538368 40.5767767, -73.9538158 40.5766646, -73.9538109 40.5766383, -73.9536516 40.5757998, -73.9534665 40.5748416, -73.953398 40.574487, -73.9534665 40.5748416, -73.9536516 40.5757998, -73.9538109 40.5766383, -73.9538158 40.5766646, -73.9538368 40.5767767)"
"['Dyker Place', '85th Street']",1127.161,"LINESTRING (-74.021178 40.621252, -74.0217345 40.6206799, -74.0218121 40.6206095, -74.0222518 40.6201609, -74.022269 40.620109, -74.0216737 40.619741, -74.0212539 40.6194814, -74.0210641 40.6193641, -74.0210009 40.619325, -74.020899 40.619262, -74.019894 40.618657, -74.017691 40.617326, -74.015488 40.615998, -74.013289 40.614669)"
"['Humboldt Street', 'Bayard Street']",1069.004,"LINESTRING (-73.9456716 40.7270246, -73.9454434 40.7256059, -73.9454318 40.7255309, -73.9454197 40.7254593, -73.9450277 40.7230798, -73.9450173 40.7230141, -73.9450073 40.7229501, -73.9449004 40.7223648, -73.9447995 40.7217552, -73.9447875 40.7216825, -73.944778 40.721625, -73.9446747 40.7210011, -73.9448271 40.7208839, -73.9448997 40.7208288, -73.9449918 40.7207725, -73.9450922 40.7207138, -73.9459374 40.7202196, -73.945974 40.7201982, -73.946041 40.720159, -73.9469215 40.7196249, -73.946989 40.719584, -73.9470577 40.7195424, -73.947516 40.719267, -73.9483957 40.7191812, -73.9484548 40.7191755, -73.948532 40.719168)"
"['Willoughby Street', 'Saint Edwards Street']",521.3570000000001,"LINESTRING (-73.978947 40.691921, -73.9788201 40.6919161, -73.9785239 40.6919045, -73.9781302 40.6918892, -73.9776407 40.6918702, -73.9775376 40.6918829, -73.9775386 40.6919464, -73.9776923 40.6927409, -73.9777886 40.6932383, -73.9778122 40.6933687, -73.9778249 40.6934385, -73.9778405 40.6935144, -73.9778654 40.6936259, -73.9780012 40.6942541, -73.9780137 40.6943118, -73.9780432 40.6944482, -73.9780137 40.6943118, -73.9780012 40.6942541, -73.9778654 40.6936259, -73.9778405 40.6935144, -73.9778249 40.6934385)"
